READ SERR 1
@norm_1ph_per_keVcm2s_wabs-0.pco
!
0.142597288 8.86186172E-5 1.98727064E-2
0.142774642 8.87288334E-5 2.01354586E-2
0.142952204 8.88391805E-5 2.0400811E-2
0.14312999 8.89496732E-5 2.06687618E-2
0.143307999 8.90602969E-5 2.09393278E-2
0.143486232 8.91710588E-5 2.12125145E-2
0.143664688 8.92819589E-5 2.14883517E-2
0.143843368 8.93930046E-5 2.17668526E-2
0.144022256 8.95041812E-5 2.20480133E-2
0.144201383 8.96154961E-5 2.23318525E-2
0.144380718 8.97269492E-5 2.26183962E-2
0.144560292 8.98385406E-5 2.29076557E-2
0.144740075 8.99502775E-5 2.31996328E-2
0.144920096 9.00621453E-5 2.34943591E-2
0.145100325 9.01741514E-5 2.37918347E-2
0.145280793 9.0286303E-5 2.40920708E-2
0.14546147 9.03985929E-5 2.43950766E-2
0.145642385 9.0511021E-5 2.47008726E-2
0.145823509 9.06235873E-5 2.50094756E-2
0.146004871 9.07362992E-5 2.53208969E-2
0.146186456 9.0849142E-5 2.56351437E-2
0.146368265 9.09621303E-5 2.59522423E-2
0.146550313 9.10752642E-5 2.62722038E-2
0.146732569 9.1188529E-5 2.65950225E-2
0.146915063 9.13019394E-5 2.6920706E-2
0.147097781 9.14154953E-5 2.72492915E-2
0.147280723 9.15291894E-5 2.75807958E-2
0.147463903 9.16430217E-5 2.79152095E-2
0.147647291 9.17569996E-5 2.82525495E-2
0.147830933 9.18711157E-5 2.85928324E-2
0.148014784 9.19853774E-5 2.89360806E-2
0.148198873 9.20997772E-5 2.92822774E-2
0.148383185 9.22143226E-5 2.96314564E-2
0.148567721 9.23290063E-5 2.99836285E-2
0.148752496 9.24438355E-5 3.0338807E-2
0.148937494 9.25588101E-5 3.06970067E-2
0.14912273 9.26739231E-5 3.10582239E-2
0.14930819 9.27891815E-5 3.14224772E-2
0.149493888 9.29045855E-5 3.17897834E-2
0.14967981 9.30201277E-5 3.21601406E-2
0.14986597 9.31358154E-5 3.25335637E-2
0.150052354 9.32516487E-5 3.29100862E-2
0.150238976 9.33676274E-5 3.3289697E-2
0.150425822 9.34837444E-5 3.36724073E-2
0.150612906 9.36000142E-5 3.40582393E-2
0.150800228 9.37164223E-5 3.44471894E-2
0.150987774 9.38329758E-5 3.48392576E-2
0.151175559 9.39496749E-5 3.52345034E-2
0.151363581 9.40665195E-5 3.56329009E-2
0.151551828 9.41835096E-5 3.60344462E-2
0.151740313 9.43006453E-5 3.64391729E-2
0.151929036 9.44179264E-5 3.68471071E-2
0.152117983 9.45353531E-5 3.72582301E-2
0.152307168 9.46529253E-5 3.76725495E-2
0.152496591 9.4770643E-5 3.80900986E-2
0.152686253 9.48885136E-5 3.85108814E-2
0.152876154 9.50065223E-5 3.89348939E-2
0.153066278 9.51246839E-5 3.93621586E-2
0.153256655 9.52429909E-5 3.97926904E-2
0.153447255 9.53614435E-5 4.02264558E-2
0.153638095 9.54800416E-5 4.06635217E-2
0.153829172 9.55987925E-5 4.11038771E-2
0.154020488 9.5717689E-5 4.1547507E-2
0.154212043 9.58367309E-5 4.19944376E-2
0.154403836 9.59559184E-5 4.24446836E-2
0.154595867 9.60752586E-5 4.28982563E-2
0.154788136 9.61947517E-5 4.33551483E-2
0.154980645 9.6314383E-5 4.38153557E-2
0.155173391 9.64341743E-5 4.42789197E-2
0.155366391 9.65541039E-5 4.47458439E-2
0.155559614 9.66741864E-5 4.5216132E-2
0.155753076 9.67944216E-5 4.5689784E-2
0.155946791 9.69148023E-5 4.61667925E-2
0.156140745 9.70353358E-5 4.66472208E-2
0.156334937 9.71560221E-5 4.71310355E-2
0.156529367 9.72768539E-5 4.76182252E-2
0.156724036 9.73978385E-5 4.81088087E-2
0.156918958 9.75189687E-5 4.86028157E-2
0.157114118 9.76402516E-5 4.91002426E-2
0.157309517 9.77616874E-5 4.96011153E-2
0.157505155 9.78832759E-5 5.01054227E-2
0.157701045 9.80050099E-5 5.06131425E-2
0.157897189 9.81268968E-5 5.11243269E-2
0.158093557 9.82489364E-5 5.16389608E-2
0.158290178 9.83711288E-5 5.2157063E-2
0.158487037 9.84934741E-5 5.26786298E-2
0.158684149 9.86159721E-5 5.32036535E-2
0.1588815 9.87386156E-5 5.37321866E-2
0.159079105 9.88614192E-5 5.42641878E-2
0.159276947 9.89843684E-5 5.47996499E-2
0.159475043 9.91074776E-5 5.53386062E-2
0.159673378 9.92307396E-5 5.58810942E-2
0.159871966 9.93541471E-5 5.64270951E-2
